Prefecture,Sub-Pref,Municipality-Large,Municipality-Small
北海道,石狩振興局,札幌市,中央区
北海道,石狩振興局,札幌市,東区
北海道,石狩振興局,札幌市,白石区
北海道,石狩振興局,札幌市,豊平区
北海道,石狩振興局,札幌市,南区
北海道,石狩振興局,札幌市,厚別区
北海道,渡島総合振興局,,函館市
北海道,後志総合振興局,,小樽市
北海道,上川総合振興局,,旭川市
北海道,オホーツク総合振興局,,北見市
北海道,オホーツク総合振興局,,網走市
北海道,胆振総合振興局,,苫小牧市
北海道,宗谷総合振興局,,稚内市
北海道,石狩振興局,,江別市
北海道,オホーツク総合振興局,,紋別市
北海道,石狩振興局,,千歳市
北海道,空知総合振興局,,滝川市
北海道,空知総合振興局,,深川市
北海道,石狩振興局,,恵庭市
北海道,石狩振興局,,石狩市
北海道,渡島総合振興局,,北斗市
北海道,渡島総合振興局,亀田郡,七飯町
北海道,渡島総合振興局,茅部郡,鹿部町
北海道,渡島総合振興局,茅部郡,森町
北海道,渡島総合振興局,二海郡,八雲町
北海道,渡島総合振興局,山越郡,長万部町
北海道,檜山振興局,檜山郡,江差町
北海道,檜山振興局,檜山郡,上ノ国町
北海道,檜山振興局,檜山郡,厚沢部町
北海道,檜山振興局,奥尻郡,奥尻町
北海道,檜山振興局,瀬棚郡,今金町
北海道,檜山振興局,久遠郡,せたな町
北海道,後志総合振興局,寿都郡,黒松内町
北海道,後志総合振興局,虻田郡,ニセコ町
北海道,後志総合振興局,虻田郡,倶知安町
北海道,上川総合振興局,上川郡,東神楽町
北海道,上川総合振興局,上川郡,当麻町
北海道,上川総合振興局,上川郡,上川町
北海道,上川総合振興局,上川郡,東川町
北海道,留萌振興局,苫前郡,羽幌町
北海道,宗谷総合振興局,天塩郡,豊富町
北海道,宗谷総合振興局,礼文郡,礼文町
北海道,オホーツク総合振興局,網走郡,美幌町
北海道,オホーツク総合振興局,網走郡,津別町
北海道,オホーツク総合振興局,斜里郡,斜里町
北海道,オホーツク総合振興局,斜里郡,清里町
北海道,オホーツク総合振興局,斜里郡,小清水町
北海道,オホーツク総合振興局,常呂郡,訓子府町
北海道,オホーツク総合振興局,常呂郡,置戸町
北海道,オホーツク総合振興局,常呂郡,佐呂間町
北海道,オホーツク総合振興局,紋別郡,遠軽町
北海道,オホーツク総合振興局,紋別郡,湧別町
北海道,オホーツク総合振興局,紋別郡,興部町
北海道,オホーツク総合振興局,網走郡,大空町
北海道,胆振総合振興局,勇払郡,厚真町
北海道,胆振総合振興局,勇払郡,安平町
北海道,胆振総合振興局,勇払郡,むかわ町
北海道,釧路総合振興局,釧路郡,釧路町
北海道,根室振興局,国後郡,泊村
北海道,根室振興局,国後郡,留夜別村
北海道,根室振興局,択捉郡,留別村
北海道,根室振興局,紗那郡,紗那村
青森県,,,弘前市
青森県,,,五所川原市
青森県,,,十和田市
青森県,,北津軽郡,中泊町
岩手県,,,盛岡市
岩手県,,,宮古市
岩手県,,,大船渡市
岩手県,,,花巻市
岩手県,,,北上市
岩手県,,,一関市
岩手県,,,奥州市
岩手県,,九戸郡,洋野町
宮城県,,,石巻市
宮城県,,,塩竈市
宮城県,,,気仙沼市
宮城県,,,名取市
宮城県,,,角田市
宮城県,,,東松島市
宮城県,,柴田郡,柴田町
宮城県,,牡鹿郡,女川町
秋田県,,,秋田市
秋田県,,,能代市
秋田県,,,横手市
秋田県,,,湯沢市
秋田県,,,由利本荘市
秋田県,,,北秋田市
秋田県,,,にかほ市
秋田県,,,仙北市
秋田県,,北秋田郡,上小阿仁村
秋田県,,南秋田郡,五城目町
秋田県,,雄勝郡,羽後町
山形県,,,米沢市
山形県,,,酒田市
山形県,,最上郡,真室川町
福島県,,,郡山市
福島県,,,いわき市
福島県,,,白河市
福島県,,,須賀川市
福島県,,,喜多方市
福島県,,,相馬市
福島県,,,田村市
福島県,,,南相馬市
福島県,,伊達郡,川俣町
福島県,,岩瀬郡,天栄村
